rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre,sup_devices.num,lang.num,SizeCatg,PriceCatg
43877,80,3,4.5,1,37,13,1,0
2377,5,3,5.0,1,37,1,0,1
1590,6,3,5.0,2,38,2,1,0
2070,16,3,4.5,5,37,1,0,1
9,0,3,0.0,1,37,1,0,0
11530,81,3,4.5,1,37,1,1,1
194,0,3,0.0,1,37,2,0,0
200,0,2,0.0,1,37,1,0,0
16772,293,3,3.0,1,24,3,1,0
9,7,3,4.5,5,43,5,0,1
2113,20,2,2.5,5,40,1,0,1
794,8,3,3.5,1,37,1,0,0
8939,15,3,1.5,1,37,29,1,0
308,0,2,0.0,1,37,1,0,0
5,1,1,1.0,1,38,2,0,0
326482,177050,3,5.0,5,43,13,2,1
3801,6,3,4.0,1,37,1,2,0
209,1,2,5.0,5,37,1,1,0
33868,463,3,4.5,5,43,1,0,1
13741,58,2,2.5,2,43,1,0,1
18418,706,3,5.0,1,37,16,1,0
21,0,1,0.0,1,37,1,1,1
1588,6,2,4.5,5,37,7,1,1
8094,191,2,2.5,1,37,1,1,0
1652,202,2,2.5,1,38,32,0,0
5482,25,3,4.5,1,37,14,0,1
611,186,3,4.5,1,37,1,2,2
26697,3109,3,4.5,1,37,1,0,0
317,0,3,0.0,1,38,1,1,0
14202,638,2,3.5,5,40,10,2,1
2064,2,2,4.0,1,37,32,1,0
746,1,3,5.0,1,40,1,0,0
0,0,1,0.0,2,40,1,0,1
52642,16,2,3.5,1,37,31,0,0
27317,2,2,5.0,1,37,1,1,0
76,2,3,1.0,1,37,5,0,1
2161558,1289,3,4.0,1,37,29,1,0
2554,93,3,3.5,1,37,17,0,1
1058,3,2,3.5,5,37,1,0,1
10382,281,3,3.5,5,24,6,2,1
1428,1417,2,3.5,5,47,1,0,1
3134,160,2,3.0,2,24,1,0,0
596,0,2,0.0,2,24,3,0,0
4378,251,3,4.5,5,43,1,2,1
280,12,3,4.0,1,37,6,0,1
1045,2,3,2.5,2,24,7,0,1
1110,31,3,3.5,1,38,31,0,0
11154,1862,3,5.0,5,38,3,0,1
0,0,1,0.0,1,38,3,0,0
258,0,1,0.0,1,37,1,1,0
44567,202,3,4.5,5,38,1,1,1
3818,69,2,1.5,1,37,1,1,0
7562,9,3,4.0,1,24,7,1,1
120,12,3,4.5,1,37,1,0,1
206,128,2,3.5,5,47,1,0,1
1755,83,3,4.5,1,24,16,0,1
1037,95,3,4.5,1,37,13,0,1
4755,132,3,3.5,5,38,1,1,1
825,28,2,4.0,1,40,1,0,0
28260,294,3,4.5,1,37,14,0,0
306,1,2,1.0,1,37,2,1,0
32527,4411,3,4.0,5,43,1,0,0
103655,39452,3,5.0,1,37,1,0,0
15981,440,3,4.5,1,37,9,0,1
15593,301,3,5.0,1,37,1,1,0
